zone,valid_pt,t2m_c,ssrd_wm2,wind100,Date
NP15,2026/8/18 23:00,17.56964111,661.0933228,1.814866066,2026/8/18
SP15,2026/8/18 23:00,26.90280151,522.3822021,2.609872341,2026/8/18
ZP26,2026/8/18 23:00,21.0296936,609.6177979,3.259710073,2026/8/18
NP15,2026/8/18 22:00,18.8674221,750.9111328,2.066731453,2026/8/18
SP15,2026/8/18 22:00,27.9276638,635.3184814,2.772149563,2026/8/18
ZP26,2026/8/18 22:00,22.28748131,708.0148315,3.212190628,2026/8/18
NP15,2026/8/18 21:00,20.16520119,840.7288818,2.31859684,2026/8/18
SP15,2026/8/18 21:00,28.95252419,748.2548218,2.934426785,2026/8/18
ZP26,2026/8/18 21:00,23.54526711,806.4118652,3.164671421,2026/8/18
NP15,2026/8/18 20:00,21.46298218,930.5466309,2.570462227,2026/8/18
SP15,2026/8/18 20:00,29.97738647,861.1911011,3.096704006,2026/8/18
ZP26,2026/8/18 20:00,24.80305481,904.8088989,3.117151976,2026/8/18
NP15,2026/8/18 19:00,22.76076317,1020.364441,2.822327614,2026/8/18
SP15,2026/8/18 19:00,31.00224876,974.1273804,3.258981466,2026/8/18
ZP26,2026/8/18 19:00,26.06084251,1003.205933,3.06963253,2026/8/18
NP15,2026/8/18 18:00,24.05854225,1110.182251,3.074193001,2026/8/18
SP15,2026/8/18 18:00,32.02711105,1087.063721,3.421258688,2026/8/18
ZP26,2026/8/18 18:00,27.31862831,1101.603027,3.022113323,2026/8/18
NP15,2026/8/18 17:00,25.35632324,1200,3.326058388,2026/8/18
SP15,2026/8/18 17:00,33.05197144,1200,3.58353591,2026/8/18
ZP26,2026/8/18 17:00,28.57641602,1200,2.974593878,2026/8/18
NP15,2026/8/18 16:00,24.95188332,1200,3.035818577,2026/8/18
SP15,2026/8/18 16:00,32.67518234,1200,3.333982229,2026/8/18
ZP26,2026/8/18 16:00,28.01237488,1200,2.731067419,2026/8/18
NP15,2026/8/18 15:00,24.5474453,1200,2.745578766,2026/8/18
SP15,2026/8/18 15:00,32.29838943,1200,3.08442831,2026/8/18
ZP26,2026/8/18 15:00,27.44833374,1200,2.487540722,2026/8/18
NP15,2026/8/18 14:00,24.14300537,1200,2.455339193,2026/8/18
SP15,2026/8/18 14:00,31.92160034,1200,2.83487463,2026/8/18
ZP26,2026/8/18 14:00,26.8842926,1200,2.244014263,2026/8/18
NP15,2026/8/18 13:00,23.73856544,1200,2.165099382,2026/8/18
SP15,2026/8/18 13:00,31.54480934,1200,2.58532095,2026/8/18
ZP26,2026/8/18 13:00,26.32025146,1200,2.000487804,2026/8/18
NP15,2026/8/18 12:00,23.33412743,1200,1.874859571,2026/8/18
SP15,2026/8/18 12:00,31.16802025,1200,2.335767031,2026/8/18
ZP26,2026/8/18 12:00,25.75621033,1200,1.756961346,2026/8/18
NP15,2026/8/18 11:00,22.9296875,1200,1.58461988,2026/8/18
SP15,2026/8/18 11:00,30.79122925,1200,2.08621335,2026/8/18
ZP26,2026/8/18 11:00,25.19216919,1200,1.513434768,2026/8/18
NP15,2026/8/18 10:00,21.7323761,1000,1.495016694,2026/8/18
SP15,2026/8/18 10:00,29.54138756,1000,2.303861618,2026/8/18
ZP26,2026/8/18 10:00,23.94547081,1000,1.57553184,2026/8/18
NP15,2026/8/18 9:00,20.5350647,800,1.405413508,2026/8/18
SP15,2026/8/18 9:00,28.29154396,800,2.521509886,2026/8/18
ZP26,2026/8/18 9:00,22.69877052,800,1.637629032,2026/8/18
